"id" "area_construida_m2" "Bairro" "Cep" "cidade_uf" "Endereço" "fim_termo_convenio" "situacao_termo_convenio" "termo_convenio" "Situação" "uf"
"27403" 89.28 "Aldeia" "69935-000" "Assis Brasil                        - AC" "TI Cabeceira do Rio Acre - Aldeia Ananaia, Margem esquerda do rio Iaco, 01 " "30/01/2017" "Vigente" "46140/2014" "
                            
                            Concluída" "AC"
"27422" 89.28 "Aldeia" "69935-000" "Assis Brasil                        - AC" "TI Mamoadate - Aldeia Agua Preta, Margem esquerda do rio Iaco, 01 " "30/01/2017" "Vigente" "46140/2014" "
                            
                            Concluída" "AC"
"19518" 668.69 "Centro" "57265-000" "Teotônio Vilela                        - AL" "Rua pedro Cavalcante,   " "25/11/2016" "Vigente" "259/2011" "
                            
                            Concluída" "AL"
"24282" 1118.48 "Centro" "57265-000" "Teotônio Vilela                        - AL" "Conj. Habitacional João José Pereira, Quadra G,  " "30/12/2016" "Vigente" "3189/2012" "
                            
                            Concluída" "AL"
"19284" 1211.92 "Petrópolis" "69067-480" "Manaus                        - AM" "Rua Rio Amazonas, São Francisco no interior da EMEF Ana Mota Braga,  " "01/03/2017" "Vigente" "2491/2012" "
                            
                            Concluída" "AM"
"1003111" 785.54 "Cutipanã                                                                                            " "69140-000" "Nhamundá                        - AM" "Rua Projetada,   " "31/12/2016" "Vigente" "71395/2016" "
                            
                            Concluída" "AM"
"1017226" 111.03 "Agreste" "68920-000" "Laranjal do Jari                        - AP" "Rua Tancredo Neves,  01 " "30/06/2016" "Vigente" "29969/2014" "
                            
                            Concluída" "AP"
"24661" 1211.92 "Fonte Nova" "68925-000" "Santana                        - AP" "Av. Dom Pedro I entre a Rua Everaldo Vasconcelos e Av. Rio Branco, Quadra 155/Setor 08, 155 " "21/12/2014" "Vencido" "2509/2012" "
                            
                            Concluída" "AP"
"19214" 1211.92 "Timbó" "48370-000" "Esplanada                        - BA" "Praça Santo Antonio,  00 " "25/12/2014" "Vencido" "1899/2011" "
                            
                            Concluída" "BA"
"20117" 1118.48 "DOIS DE ABRIL" "46880-000" "Itaberaba                        - BA" "Campo do DER-BA S/N,   " "20/02/2015" "Vencido" "366/2011" "
                            
                            Concluída" "BA"
"24972" 0 "Centro" "62400-000" "Camocim                        - CE" "RUA JOÃO PESSOA,  1000 " "19/01/2017" "Vigente" "2603/2012" "
                            
                            Concluída" "CE"
"25037" 1211.92 "Vila União" "62021-095" "Sobral                        - CE" "Rua Primeiro de Janeiro, S/Nº,  0000 " "20/09/2016" "Vigente" "2611/2012" "
                            
                            Concluída" "CE"
"25804" 1118.48 "Planaltina" "73356-035" "Brasília                        - DF" "Quadra 18 Conjunto G - AE 1 , Setor Residencial Leste,  " "11/10/2016" "Vigente" "5886/2013" "
                            
                            Concluída" "DF"
"25800" 1118.48 "Ceilândia Sul" "72235-809" "Brasília                        - DF" "Quadra QNP 28 - AE,   " "11/10/2016" "Vigente" "5886/2013" "
                            
                            Concluída" "DF"
"20175" 564.47 "Centro" "29615-000" "Laranja da Terra                        - ES" "Rua José Machado de Souza, -, 00 " "21/04/2015" "Vencido" "1792/2011" "
                            
                            Concluída" "ES"
"24923" 564.5 "Costabella" "29173-559" "Serra                        - ES" "Avenida Arapongas,   " "27/01/2017" "Vigente" "2621/2012" "
                            
                            Concluída" "ES"
"24808" 0 "Parque Primavera" "74913-080" "Aparecida de Goiânia                        - GO" "Rua do Ipê, APM 06 COM RUA DAS ACACIAS E RUA DOS PINHEIROS,  " "29/05/2017" "Vigente" "4060/2013" "
                            
                            Concluída" "GO"
"24803" 1540.41 "Vila Delfiori" "74962-300" "Aparecida de Goiânia                        - GO" "Rua Péricles, Quadra 35 lote 16,  " "29/05/2017" "Vigente" "4060/2013" "
                            
                            Concluída" "GO"
"29649" 207.7 "São Miguel" "65520-000" "Brejo                        - MA" "Povoado São Miguel,  00 " "31/03/2015" "Vencido" "8273/2014" "
                            
                            Concluída" "MA"
"29698" 111.03 "Povoado Sambaiba" "65685-000" "Buriti Bravo                        - MA" "Rua Principal,   " "01/10/2016" "Vigente" "9115/2014" "
                            
                            Concluída" "MA"
"25338" 1118.48 "RESIDENCIAL JARDIM SUL" "38740-000" "Patrocínio                        - MG" "RUA 08 S/N,   " "14/01/2015" "Vencido" "2794/2012" "
                            
                            Concluída" "MG"
"19135" 564.5 "Centro" "37680-000" "Gonçalves                        - MG" "RUA PROJETADA SN,  06 " "05/07/2014" "Vencido" "1572/2011" "
                            
                            Concluída" "MG"
"23264" 1211 "Jardim Moema" "79063-730" "Campo Grande                        - MS" "Rua Victoriano Stech,   " "29/09/2016" "Vigente" "2094/2011" "
                            
                            Concluída" "MS"
"18993" 0 "JARDIM DAS PAINEIRAS" "79500-000" "Paranaíba                        - MS" "Avenida Agenor Francisco de Oliveira,   " "30/04/2014" "Vencido" "534/2011" "
                            
                            Concluída" "MS"
"29550" 853.2 "Rural" "78650-000" "Santa Terezinha                        - MT" "Vila paulista do Araguaia,  00 " "31/03/2015" "Vencido" "8335/2014" "
                            
                            Concluída" "MT"
"27398" 854 "Vila Concórdia" "78870-000" "Paranatinga                        - MT" "Rua 10 de Maio,  00 " "26/11/2016" "Vigente" "5932/2014" "
                            
                            Concluída" "MT"
"1009790" 204.06 "ZONA RURAL                                                                                          " "68639-000" "Goianésia do Pará                        - PA" "VICINAL CENTRAL KM 06,  00 " "31/01/2016" "Vencido" "22311/2014" "
                            
                            Concluída" "PA"
"1009525" 111.03 "ZONA RURAL                                                                                          " "68365-000" "Anapu                        - PA" "VICINAL 0, PDS ESPERANÇA, 00 " "28/02/2017" "Vigente" "22299/2014" "
                            
                            Concluída" "PA"
"18282" 564.5 "Bela vista" "58955-000" "Serra Grande                        - PB" "Av.Timbauba, -,  " "28/08/2013" "Vencido" "2023/2011" "
                            
                            Concluída" "PB"
"19416" 1118.48 "São Vicente" "58175-000" "Cuité                        - PB" "Rua 7 de Setembro, s/n,  " "27/02/2015" "Vencido" "1661/2011" "
                            
                            Concluída" "PB"
"24763" 851.63 "Centro" "56163-000" "Parnamirim                        - PE" "RUA DO COMERCIO, S/N, POVOADO DO MATIAS,  " "09/06/2015" "Vencido" "2979/2012" "
                            
                            Concluída" "PE"
"19859" 2800 "Centro" "56200-000" "Ouricuri                        - PE" "POVOADO DE SANTA RITA, DISTRITO,  " "12/10/2016" "Vigente" "194/2011" "
                            
                            Concluída" "PE"
"29363" 913.12 "Centro" "64753-000" "Betânia do Piauí                        - PI" "Travessa 01,  000 " "31/12/2016" "Vigente" "8188/2014" "
                            
                            Concluída" "PI"
"18162" 739.05 "centro" "64518-000" "Santa Rosa do Piauí                        - PI" "Avenida Joaquim Castelo Branco,   " "10/07/2013" "Vencido" "141/2011" "
                            
                            Concluída" "PI"
"1002166" 611.41 "Campo de Santana                                                                                    " "81490-524" "Curitiba                        - PR" "Rua Lucas Carvalho, Campo de Santana/Rio Bonito, 0000 " "19/08/2016" "Vigente" "7019/2013" "
                            
                            Concluída" "PR"
"25274" 1211.92 "Jardim Santa Felicidade" "87200-000" "Cianorte                        - PR" "Rua Mário Sécolo, Quadra 02, Data 5-A, 95 " "20/05/2014" "Vencido" "2899/2012" "
                            
                            Concluída" "PR"
"19343" 564 "Tangara" "28921-217" "Cabo Frio                        - RJ" "Rua Nelson Mandela,   " "26/09/2016" "Vigente" "386/2011" "
                            
                            Concluída" "RJ"
"18322" 1118.48 "Cordeirinho" "24900-000" "Maricá                        - RJ" "Rua 10,  00 " "09/07/2013" "Vencido" "245/2011" "
                            
                            Concluída" "RJ"
"19455" 0 "Pitimbu" "59069-010" "Natal                        - RN" "Rua Engenheiro Joaquim Cardoso,  220 " "09/12/2016" "Vigente" "5838/2013" "
                            
                            Concluída" "RN"
"19574" 564.5 "Planalto                                                                                            " "59073-335" "Natal                        - RN" "Rua Santo Expedito,   " "09/12/2016" "Vigente" "5838/2013" "
                            
                            Concluída" "RN"
"19789" 1118.48 "jardim santana" "76800-000" "Porto Velho                        - RO" "Avenida rio de janeiro, esquina com rua alto do bronze, 00 " "30/06/2016" "Vigente" "11137/2014" "
                            
                            Concluída" "RO"
"20086" 1118.48 "Marcos Freire" "76800-000" "Porto Velho                        - RO" "RUA PALMEIRAS,  00 " "30/06/2016" "Vigente" "11137/2014" "
                            
                            Concluída" "RO"
"1015382" 207.7 "zona rural                                                                                          " "69378-000" "Caroebe                        - RR" "VICNAL 04, KM-22, 22 " "30/06/2016" "Vigente" "31459/2014" "
                            
                            Concluída" "RR"
"1010345" 785.54 "Florida                                                                                             " "99690-000" "Liberato Salzano                        - RS" "RUA ARTEMIO BIAZUS,  000 " "31/05/2016" "Vencido" "19839/2014" "
                            
                            Concluída" "RS"
"19625" 564.5 "Santa Fé" "95045-570" "Caxias do Sul                        - RS" "Rua Jacob Susin, LOTE 1 QUADRA 2276,  " "27/09/2016" "Vigente" "491/2011" "
                            
                            Concluída" "RS"
"19463" 1118.48 "Espinheiros" "88317-519" "Itajaí                        - SC" "Rua Augusto Cugnier,  456 " "01/09/2014" "Vencido" "292/2011" "
                            
                            Concluída" "SC"
"19880" 1211.92 "Próspera" "88813-100" "Criciúma                        - SC" "Rua Manaus,   " "08/07/2014" "Vencido" "1725/2011" "
                            
                            Concluída" "SC"
"19596" 0 "Centro" "49580-000" "Areia Branca                        - SE" "RUA DOS BODES,  00 " "31/12/2014" "Vencido" "1239/2011" "
                            
                            Concluída" "SE"
"19653" 1118.48 "Novo Horizonte" "49400-000" "Lagarto                        - SE" "Av Lourival Baptista,   " "29/04/2015" "Vencido" "428/2011" "
                            
                            Concluída" "SE"
"19003" 564.5 "Baln Di Franco" "11925-000" "Ilha Comprida                        - SP" "Rua Laercio Ribeiro, Quadra FL Lotes 24 a 28,  " "15/10/2013" "Vencido" "1277/2011" "
                            
                            Concluída" "SP"
"19853" 1118.48 "Jardim Sorocaba Park" "18078-065" "Sorocaba                        - SP" "Rua Antonio Raiz, esquina com a Rua João Rodrigues,  " "30/04/2015" "Vencido" "996/2011" "
                            
